Hour Minute Second RPM v1 RPM_ct wind_ct
19 11 3 0 0.00 0 0
19 11 6 0 0.00 0 0
19 11 9 0 0.00 0 0
19 11 12 0 0.00 0 0
19 11 15 0 0.00 0 0
19 11 18 0 0.00 0 0
19 11 21 0 0.00 0 0
19 11 24 0 0.00 0 0
19 11 27 0 0.00 0 0
19 11 30 0 0.00 0 0
19 11 33 0 0.00 0 0
19 11 36 0 0.00 0 0
19 11 39 0 0.00 0 0
19 11 42 0 0.00 0 0
19 11 45 0 0.00 0 0
19 11 48 0 0.00 0 0
19 11 51 0 0.00 0 0
19 11 54 0 0.00 0 0
19 11 57 0 0.00 0 0
19 12 0 0 0.00 0 0
19 12 3 0 0.00 0 0
19 12 6 0 0.00 0 0
19 12 9 0 0.00 0 0
19 12 12 0 0.00 0 0
19 12 15 0 0.00 0 0
19 12 18 0 0.00 0 0
19 12 21 0 0.00 0 0
19 12 24 0 0.00 0 0
19 12 27 0 0.00 0 0
19 12 30 0 0.00 0 0
19 12 33 0 0.00 0 0
19 12 36 0 0.00 0 0
19 12 39 0 0.00 0 0
19 12 42 0 0.00 0 0
19 12 45 0 0.00 0 0
19 12 48 0 0.00 0 0
19 12 51 0 0.00 0 0
19 12 54 0 0.00 0 0
19 12 57 0 0.00 0 0
19 13 0 0 0.00 0 0
19 13 3 0 0.00 0 0
19 13 6 0 0.00 0 0
19 13 9 0 0.00 0 0
19 13 12 0 0.00 0 0
19 13 15 0 0.00 0 0
19 13 18 0 0.00 0 0
19 13 21 0 0.00 0 0
19 13 24 0 0.00 0 0
19 13 27 0 0.00 0 0
19 13 30 0 0.00 0 0
19 13 33 0 0.00 0 0
19 13 36 0 0.00 0 0
19 13 39 0 0.00 0 0
19 13 42 0 0.00 0 0
19 13 45 0 0.00 0 0
19 13 48 0 0.00 0 0
19 13 51 0 0.00 0 0
19 13 54 0 0.00 0 0
19 13 57 0 0.00 0 0
19 14 0 0 0.00 0 0
19 14 3 0 0.00 0 0
19 14 6 0 0.00 0 0
19 14 9 0 0.00 0 0
19 14 12 0 0.00 0 0
19 14 15 0 0.00 0 0
19 14 18 0 0.00 0 0
19 14 21 0 0.00 0 0
19 14 24 0 0.00 0 0
19 14 27 0 0.00 0 0
19 14 30 0 0.00 0 0
19 14 33 0 0.00 0 0
19 14 36 0 0.00 0 0
19 14 39 0 0.00 0 0
19 14 42 0 0.00 0 0
19 14 45 0 0.00 0 3
19 14 48 0 0.47 0 21
19 14 51 0 3.29 0 23
19 14 54 0 3.60 0 26
19 14 57 0 4.07 0 24
19 15 0 0 3.76 0 26
19 15 3 0 4.07 0 23
19 15 6 0 3.60 0 22
19 15 9 0 3.45 0 22
19 15 12 0 3.45 0 23
19 15 15 0 3.60 0 23
19 15 18 0 3.60 0 19
19 15 21 0 2.98 0 22
19 15 24 0 3.45 0 24
19 15 27 0 3.76 0 21
19 15 30 0 3.29 0 20
19 15 33 0 3.13 0 25
19 15 36 0 3.92 0 25
19 15 39 0 3.92 0 22
19 15 42 0 3.45 0 24
19 15 45 0 3.76 0 25
19 15 48 0 3.92 0 26
19 15 51 0 4.07 0 24
19 15 54 0 3.76 0 27
19 15 57 0 4.23 0 25
19 16 0 0 3.92 0 21
19 16 3 0 3.29 0 17
19 16 6 0 2.66 0 20
19 16 9 0 3.13 0 24
19 16 12 0 3.76 0 26
19 16 15 0 4.07 0 34
19 16 18 0 5.33 0 32
19 16 21 0 5.01 0 31
19 16 24 0 4.86 0 30
19 16 27 0 4.70 0 29
19 16 30 0 4.54 0 36
19 16 33 0 5.64 0 35
19 16 36 0 5.48 0 33
19 16 39 0 5.17 0 27
19 16 42 0 4.23 0 28
19 16 45 0 4.39 0 27
19 16 48 0 4.23 0 27
19 16 51 0 4.23 0 26
19 16 54 0 4.07 0 35
19 16 57 0 5.48 0 34
19 17 0 0 5.33 0 29
19 17 3 0 4.54 0 27
19 17 6 0 4.23 0 27
19 17 9 0 4.23 0 30
19 17 12 0 4.70 0 31
19 17 15 0 4.86 0 30
19 17 18 0 4.70 0 24
19 17 21 0 3.76 0 21
19 17 24 0 3.29 0 29
19 17 27 0 4.54 0 34
19 17 30 0 5.33 0 27
19 17 33 0 4.23 0 30
19 17 36 0 4.70 0 28
19 17 39 0 4.39 0 34
19 17 42 0 5.33 0 32
19 17 45 0 5.01 0 36
19 17 48 0 5.64 0 35
19 17 51 0 5.48 0 35
19 17 54 0 5.48 0 30
19 17 57 0 4.70 0 27
19 18 0 0 4.23 0 26
19 18 3 0 4.07 0 28
19 18 6 0 4.39 0 24
19 18 9 0 3.76 0 29
19 18 12 0 4.54 0 28
19 18 15 0 4.39 0 27
19 18 18 0 4.23 0 25
19 18 21 0 3.92 0 27
19 18 24 0 4.23 0 23
19 18 27 0 3.60 0 19
19 18 30 0 2.98 0 24
19 18 33 0 3.76 0 20
19 18 36 0 3.13 0 23
19 18 39 0 3.60 0 21
19 18 42 0 3.29 0 25
19 18 45 0 3.92 0 29
19 18 48 0 4.54 0 32
19 18 51 0 5.01 0 30
19 18 54 0 4.70 0 24
19 18 57 0 3.76 0 21
19 19 0 0 3.29 0 20
19 19 3 0 3.13 0 21
19 19 6 0 3.29 0 26
19 19 9 0 4.07 0 35
19 19 12 0 5.48 0 34
19 19 15 999 5.33 2 33
19 19 18 0 5.17 2 29
19 19 21 9.87 4.54 3 28
19 19 24 0 4.39 3 33
19 19 27 14.57 5.17 4 35
19 19 30 18.06 5.48 5 35
19 19 33 21.40 5.48 6 30
19 19 36 25.78 4.70 8 30
19 19 39 27.42 4.70 9 36
19 19 42 30.23 5.64 11 33
19 19 45 31.91 5.17 12 35
19 19 48 34.38 5.48 14 44
19 19 51 38.00 6.89 16 36
19 19 54 40.65 5.64 18 36
19 19 57 42.92 5.64 20 37
19 20 0 44.58 5.80 22 40
19 20 3 48.08 6.27 25 39
19 20 6 50.85 6.11 27 43
19 20 9 53.48 6.74 30 38
19 20 12 55.76 5.95 33 43
19 20 15 57.20 6.74 35 38
19 20 18 58.88 5.95 38 38
19 20 21 60.06 5.95 41 39
19 20 24 61.29 6.11 44 31
19 20 27 62.70 4.86 48 36
19 20 30 63.56 5.64 51 29
19 20 33 64.10 4.54 54 21
19 20 36 63.97 3.29 57 22
19 20 39 63.90 3.45 60 28
19 20 42 63.97 4.39 63 29
19 20 45 64.94 4.54 67 23
19 20 48 64.79 3.60 70 23
19 20 51 65.01 3.60 73 26
19 20 54 65.36 4.07 76 24
19 20 57 65.50 3.76 80 34
19 21 0 65.57 5.33 83 27
19 21 3 65.93 4.23 86 26
19 21 6 66.01 4.07 90 31
19 21 9 66.52 4.86 93 31
19 21 12 67.34 4.86 96 32
19 21 15 67.49 5.01 100 30
19 21 18 67.64 4.70 103 26
19 21 21 68.10 4.07 106 22
19 21 24 68.34 3.45 110 27
19 21 27 68.34 4.23 113 27
19 21 30 68.34 4.23 117 25
19 21 33 68.49 3.92 120 24
19 21 36 68.73 3.76 124 28
19 21 39 68.65 4.39 127 23
19 21 42 68.81 3.60 130 21
19 21 45 69.12 3.29 134 30
19 21 48 69.36 4.70 137 30
19 21 51 69.12 4.70 141 28
19 21 54 69.20 4.39 144 28
19 21 57 69.20 4.39 148 21
19 22 0 69.20 3.29 151 21
19 22 3 69.77 3.29 155 25
19 22 6 69.61 3.92 158 25
19 22 9 70.18 3.92 162 32
19 22 12 70.26 5.01 165 30
19 22 15 70.34 4.70 169 32
19 22 18 70.92 5.01 172 31
19 22 21 71.09 4.86 176 25
19 22 24 71.17 3.92 179 31
19 22 27 71.68 4.86 183 23
19 22 30 71.60 3.60 187 20
19 22 33 71.60 3.13 190 18
19 22 36 72.20 2.82 194 19
19 22 39 72.20 2.98 197 20
19 22 42 72.03 3.13 201 20
19 22 45 72.38 3.13 205 18
19 22 48 72.29 2.82 208 23
19 22 51 72.64 3.60 212 23
19 22 54 72.46 3.60 215 35
19 22 57 73.26 5.48 219 29
19 23 0 73.35 4.54 223 34
19 23 3 74.35 5.33 226 37
19 23 6 75.38 5.80 230 41
19 23 9 75.85 6.42 234 34
19 23 12 76.92 5.33 238 33
19 23 15 77.72 5.17 242 36
19 23 18 78.43 5.64 246 37
19 23 21 79.26 5.80 250 38
19 23 24 80.11 5.95 254 42
19 23 27 82.30 6.58 258 38
19 23 30 82.42 5.95 262 33
19 23 33 83.45 5.17 266 31
19 23 36 83.68 4.86 270 29
19 23 39 83.57 4.54 274 28
19 23 42 84.03 4.39 279 31
19 23 45 84.51 4.86 283 34
19 23 48 84.99 5.33 287 27
19 23 51 84.87 4.23 291 26
19 23 54 85.35 4.07 295 29
19 23 57 85.47 4.54 300 28
19 24 0 85.96 4.39 304 37
19 24 3 85.96 5.80 308 33
19 24 6 86.08 5.17 313 29
19 24 9 86.71 4.54 317 28
19 24 12 86.96 4.39 321 22
19 24 15 87.21 3.45 326 20
19 24 18 87.34 3.13 330 21
19 24 21 87.72 3.29 334 19
19 24 24 88.24 2.98 339 19
19 24 27 88.11 2.98 343 22
19 24 30 88.63 3.45 348 25
19 24 33 88.89 3.92 352 30
19 24 36 89.42 4.70 357 22
19 24 39 73.62 3.45 361 18
19 24 42 55.81 2.82 364 24
19 24 45 43.67 3.76 366 25
19 24 48 31.88 3.92 368 27
19 24 51 25.45 4.23 369 30
19 24 54 19.47 4.70 370 27
19 24 57 0 4.23 370 31
19 25 0 999 4.86 372 23
19 25 3 0 3.60 372 29
19 25 6 0 4.54 372 31
19 25 9 7.12 4.86 373 28
19 25 12 0 4.39 373 30
19 25 15 0 4.70 373 32
19 25 18 0 5.01 373 30
19 25 21 0 4.70 373 29
19 25 24 0 4.54 373 29
19 25 27 0 4.54 373 30
19 25 30 0 4.70 373 30
19 25 33 0 4.70 373 27
19 25 36 0 4.23 373 24
19 25 39 0 3.76 373 26
19 25 42 0 4.07 373 30
19 25 45 0 4.70 373 27
19 25 48 0 4.23 373 29
19 25 51 0 4.54 373 35
19 25 54 0 5.48 373 32
19 25 57 0 5.01 373 30
19 26 0 0 4.70 373 33
19 26 3 0 5.17 373 30
19 26 6 0 4.70 373 30
19 26 9 0 4.70 373 30
19 26 12 0 4.70 373 28
19 26 15 0 4.39 373 28
19 26 18 0 4.39 373 26
19 26 21 0 4.07 373 21
19 26 24 0 3.29 373 28
19 26 27 0 4.39 373 24
19 26 30 0 3.76 373 26
19 26 33 0 4.07 373 27
19 26 36 0 4.23 373 28
19 26 39 0 4.39 373 28
19 26 42 0 4.39 373 28
19 26 45 0 4.39 373 24
19 26 48 0 3.76 373 28
19 26 51 0 4.39 373 34
19 26 54 0 5.33 373 32
19 26 57 0 5.01 373 29
19 27 0 0.54 4.54 374 37
19 27 3 0 5.80 374 37
19 27 6 0 5.80 374 40
19 27 9 6.52 6.27 375 34
19 27 12 16.60 5.33 376 34
19 27 15 20.72 5.33 377 39
19 27 18 25.07 6.11 379 39
19 27 21 28.34 6.11 380 41
19 27 24 33.37 6.42 382 39
19 27 27 34.94 6.11 383 37
19 27 30 39.22 5.80 385 37
19 27 33 42.98 5.80 388 40
19 27 36 45.39 6.27 390 36
19 27 39 47.21 5.64 392 35
19 27 42 49.34 5.48 395 37
19 27 45 50.13 5.80 397 30
19 27 48 51.59 4.70 400 30
19 27 51 52.17 4.70 402 27
19 27 54 52.96 4.23 405 20
19 27 57 53.10 3.13 408 23
19 28 0 53.14 3.60 410 29
19 28 3 53.62 4.54 413 33
19 28 6 54.20 5.17 416 29
19 28 9 54.95 4.70 418 29
19 28 12 55.25 4.54 421 31
19 28 15 56.23 4.86 424 32
19 28 18 57.80 5.01 427 31
19 28 21 59.00 4.86 430 24
19 28 24 59.11 3.76 433 23
19 28 27 58.48 3.60 436 28
19 28 30 46.99 4.39 438 31
19 28 33 35.63 4.86 440 31
19 28 36 29.70 4.86 441 30
19 28 39 23.93 4.70 442 999
